prefix	obo	name	repository	message
nbo	NBO	Neuro Behavior Ontology	https://github.com/obo-behavior/behavior-ontology	no roots annotated with IAO_0000700
ncro	NCRO	Non-Coding RNA Ontology	https://github.com/OmniSearch/ncro	no roots annotated with IAO_0000700
ngbo	NGBO	Next Generation Biobanking Ontology	https://github.com/Dalalghamdi/NGBO	no roots annotated with IAO_0000700
nomen	NOMEN	A nomenclatural ontology for biological names	https://github.com/SpeciesFileGroup/nomen	no roots annotated with IAO_0000700
oae	OAE	Ontology of Adverse Events	https://github.com/OAE-ontology/OAE	no roots annotated with IAO_0000700
oarcs	OARCS	Ontology of Arthropod Circulatory Systems	https://github.com/aszool/oarcs	no roots annotated with IAO_0000700
obcs	OBCS	Ontology of Biological and Clinical Statistics	https://github.com/obcs/obcs	no roots annotated with IAO_0000700
obi	OBI	Ontology for Biomedical Investigations	https://github.com/obi-ontology/obi	no roots annotated with IAO_0000700
obib	OBIB	Ontology for Biobanking	https://github.com/biobanking/biobanking	no roots annotated with IAO_0000700
occo	OCCO	Occupation Ontology	https://github.com/Occupation-Ontology/OccO	no roots annotated with IAO_0000700
ogg	OGG	The Ontology of Genes and Genomes	https://bitbucket.org/hegroup/ogg	malformed data
ogms	OGMS	Ontology for General Medical Science	https://github.com/OGMS/ogms	no roots annotated with IAO_0000700
ohd	OHD	Oral Health and Disease Ontology	https://github.com/oral-health-and-disease-ontologies/ohd-ontology	no roots annotated with IAO_0000700
ohmi	OHMI	Ontology of Host-Microbiome Interactions	https://github.com/ohmi-ontology/ohmi	no roots annotated with IAO_0000700
ohpi	OHPI	Ontology of Host Pathogen Interactions	https://github.com/OHPI/ohpi	no roots annotated with IAO_0000700
omit	OMIT	Ontology for MicroRNA Target	https://github.com/OmniSearch/omit	malformed data
omo	OMO	OBO Metadata Ontology	https://github.com/information-artifact-ontology/ontology-metadata	no roots annotated with IAO_0000700
omp	OMP	Ontology of Microbial Phenotypes	https://github.com/microbialphenotypes/OMP-ontology	no roots annotated with IAO_0000700
omrse	OMRSE	Ontology for Modeling and Representation of Social Entities	https://github.com/mcwdsi/OMRSE	no roots annotated with IAO_0000700
one	ONE	Ontology for Nutritional Epidemiology	https://github.com/cyang0128/Nutritional-epidemiologic-ontologies	no roots annotated with IAO_0000700
ons	ONS	Ontology for Nutritional Studies	https://github.com/enpadasi/Ontology-for-Nutritional-Studies	no roots annotated with IAO_0000700
ontoavida	ONTOAVIDA	Ontology for Avida digital evolution platform	https://gitlab.com/fortunalab/ontoavida	no roots annotated with IAO_0000700
ontoneo	ONTONEO	Obstetric and Neonatal Ontology	https://github.com/ontoneo-project/Ontoneo	no roots annotated with IAO_0000700
oostt	OOSTT	Ontology of Organizational Structures of Trauma centers and Trauma systems	https://github.com/OOSTT/OOSTT	no roots annotated with IAO_0000700
opl	OPL	Ontology for Parasite LifeCycle	https://github.com/OPL-ontology/OPL	no roots annotated with IAO_0000700
opmi	OPMI	Ontology of Precision Medicine and Investigation	https://github.com/OPMI/opmi	no roots annotated with IAO_0000700
ornaseq	ORNASEQ	Ontology of RNA Sequencing	https://github.com/safisher/ornaseq	no roots annotated with IAO_0000700
ovae	OVAE	Ontology of Vaccine Adverse Events	https://github.com/OVAE-Ontology/ovae	malformed data
pbpko	PBPKO	Physiologically-Based Pharmacokinetic Ontology	https://github.com/InSilicoVida-Research-Lab/pbpko	malformed data
pcl	PCL	Provisional Cell Ontology	https://github.com/obophenotype/provisional_cell_ontology	malformed data
pco	PCO	Population and Community Ontology	https://github.com/PopulationAndCommunityOntology/pco	no roots annotated with IAO_0000700
pdro	PDRO	The Prescription of Drugs Ontology	https://github.com/OpenLHS/PDRO	no roots annotated with IAO_0000700
peco	PECO	Plant Experimental Conditions Ontology	https://github.com/Planteome/plant-experimental-conditions-ontology	no roots annotated with IAO_0000700
phipo	PHIPO	Pathogen Host Interaction Phenotype Ontology	https://github.com/PHI-base/phipo	no roots annotated with IAO_0000700
plana	PLANA	Planarian Anatomy and Schmidtea mediterranean Developmental Stage Ontology	https://github.com/obophenotype/planaria-ontology	no roots annotated with IAO_0000700
planp	PLANP	Planarian Phenotype Ontology	https://github.com/obophenotype/planarian-phenotype-ontology	no roots annotated with IAO_0000700
po	PO	Plant Ontology	https://github.com/Planteome/plant-ontology	no roots annotated with IAO_0000700
poro	PORO	Porifera Ontology	https://github.com/obophenotype/porifera-ontology	no roots annotated with IAO_0000700
ppo	PPO	Plant Phenology Ontology	https://github.com/PlantPhenoOntology/PPO	no roots annotated with IAO_0000700
pr	PR	Protein Ontology	https://github.com/PROconsortium/PRoteinOntology	malformed data
proco	PROCO	Process Chemistry Ontology	https://github.com/proco-ontology/PROCO	no roots annotated with IAO_0000700
psdo	PSDO	Performance Summary Display Ontology	https://github.com/Display-Lab/psdo	no roots annotated with IAO_0000700
pso	PSO	Plant Stress Ontology	https://github.com/Planteome/plant-stress-ontology	no roots annotated with IAO_0000700
pw	PW	Pathway ontology	https://github.com/rat-genome-database/PW-Pathway-Ontology	no roots annotated with IAO_0000700
rbo	RBO	Radiation Biology Ontology	https://github.com/Radiobiology-Informatics-Consortium/RBO	no roots annotated with IAO_0000700
rex	REX	Physico-chemical process	https://github.com/cmungall/rex	no roots annotated with IAO_0000700
ro	RO	Relation Ontology	https://github.com/oborel/obo-relations	no roots annotated with IAO_0000700
rs	RS	Rat Strain Ontology	https://github.com/rat-genome-database/RS-Rat-Strain-Ontology	no roots annotated with IAO_0000700
rxno	RXNO	Name Reaction Ontology	https://github.com/rsc-ontologies/rxno	no roots annotated with IAO_0000700
sbo	SBO	Systems Biology Ontology	https://github.com/EBI-BioModels/SBO	no roots annotated with IAO_0000700
scdo	SCDO	Sickle Cell Disease Ontology	https://github.com/scdodev/scdo-ontology	no roots annotated with IAO_0000700
sepio	SEPIO	Scientific Evidence and Provenance Information Ontology	https://github.com/monarch-initiative/SEPIO-ontology	no roots annotated with IAO_0000700
sibo	SIBO	Social Insect Behavior Ontology	https://github.com/obophenotype/sibo	no roots annotated with IAO_0000700
slso	SLSO	Space Life Sciences Ontology	https://github.com/nasa/LSDAO	no roots annotated with IAO_0000700
spd	SPD	Spider Ontology	https://github.com/obophenotype/spider-ontology	no roots annotated with IAO_0000700
stato	STATO	The Statistical Methods Ontology	https://github.com/ISA-tools/stato	no roots annotated with IAO_0000700
swo	SWO	Software Ontology	https://github.com/allysonlister/swo	no roots annotated with IAO_0000700
t4fs	T4FS	terms4FAIRskills	https://github.com/terms4fairskills/FAIRterminology	no roots annotated with IAO_0000700
to	TO	Plant Trait Ontology	https://github.com/Planteome/plant-trait-ontology	no roots annotated with IAO_0000700
tto	TTO	Teleost taxonomy ontology	https://github.com/phenoscape/teleost-taxonomy-ontology	no roots annotated with IAO_0000700
txpo	TXPO	Toxic Process Ontology	https://github.com/txpo-ontology/TXPO	no roots annotated with IAO_0000700
uo	UO	Units of measurement ontology	https://github.com/bio-ontology-research-group/unit-ontology	no roots annotated with IAO_0000700
vario	VariO	Variation Ontology		no roots annotated with IAO_0000700
vo	VO	Vaccine Ontology	https://github.com/vaccineontology/VO	no roots annotated with IAO_0000700
vt	VT	Vertebrate trait ontology	https://github.com/AnimalGenome/vertebrate-trait-ontology	no roots annotated with IAO_0000700
vto	VTO	Vertebrate Taxonomy Ontology	https://github.com/phenoscape/vertebrate-taxonomy-ontology	no roots annotated with IAO_0000700
xco	XCO	Experimental condition ontology	https://github.com/rat-genome-database/XCO-experimental-condition-ontology	no roots annotated with IAO_0000700
xlmod	XLMOD	HUPO-PSI cross-linking and derivatization reagents controlled vocabulary	https://github.com/HUPO-PSI/xlmod-CV	no roots annotated with IAO_0000700
zeco	ZECO	Zebrafish Experimental Conditions Ontology	https://github.com/ybradford/zebrafish-experimental-conditions-ontology	no roots annotated with IAO_0000700
